ProductID,ProductName,ProductBrand,BrandID,Price (USD),Description
10017413,DKNY Unisex Black & Grey Printed Medium Trolley Bag,DKNY,1,117.45,"Black and grey printed medium trolley bag, secured with a TSA lockOne handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsOne main zip compartment, zip lining, two compression straps with click clasps, one zip compartment on the flap with three zip pocketsWarranty: 5 yearsWarranty provided by Brand Owner / Manufacturer"
10016283,EthnoVogue Women Beige & Grey Made to Measure Custom Made Kurta Set with Jacket,EthnoVogue,2,58.1,"Beige & Grey made to measure kurta with churidar and dupattaBeige made to measure calf length kurta, has a V-neck, three-quarter sleeves, lightly padded on bust, flared hem, concealed zip closureGrey solid made to measure churidar, drawstring closureGrey net sequined dupatta, has printed tapingWhat is Made to Measure?Customised Kurta Set according to your Bust and Length. So please refer to the Size Chart to pick your perfect size.How to measure bust?Measure under your arms and around your chest to find your bust size in inchesHow to measure Kurta length?Measure from shoulder till barefoot to find kurta length in"
10009781,SPYKAR Women Pink Alexa Super Skinny Fit High-Rise Clean Look Stretchable Cropped Jeans,SPYKAR,3,89.9,"Pink coloured wash 5-pocket high-rise cropped jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops"
10015921,Raymond Men Blue Self-Design Single-Breasted Bandhgala Suit,Raymond,4,55.99,"Blue self-design bandhgala suitBlue self-design bandhgala blazer, has a mandarin collar, single breasted with full button placket, long sleeves, three pockets, an attached lining and a double-vented back hemBlue self-design mid-rise trousers, has a zip fly with a button and a hook-and-bar closure, four pockets, a waistband with belt loops"
10017833,Parx Men Brown & Off-White Slim Fit Printed Casual Shirt,Parx,5,75.9,"Brown and off-white printed casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
10014361,SHOWOFF Men Brown Solid Slim Fit Regular Shorts,SHOWOFF,6,79.1,"Brown solid low-rise regular shorts, has four pockets, a button closure"
10017869,Parx Men Blue Slim Fit Checked Casual Shirt,Parx,5,71.9,"Blue checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
10009695,SPYKAR Women Burgundy Alexa Super Skinny Fit High-Rise Clean Look Stretchable Ankle Jeans,SPYKAR,3,89.9,"Burgundy coloured wash 5-pocket high-rise jeans, clean look, no fade, has a button and zip closure, and waistband with belt loops"
10000571,Parx Men Brown Tapered Fit Solid Regular Trousers,Parx,5,66.4,Brown solid regular trousers regular trousers
10017421,DKNY Unisex Black Large Trolley Bag,DKNY,1,173.6,"Black solid large trolley bag, secured with a TSA lockOne handle on the top and one on the side, has a trolley with a retractable handle on the top and four corner mounted inline skate wheelsOne main zip compartment, zip lining, two compression straps with click clasps and one zip pocketOne exterior zip pocketWarranty: 5 yearsWarranty provided by Brand Owner / Manufacturer"
10000911,Kenneth Cole Women Navy Blue Solid Backpack,Kenneth Cole,7,24.63,Navy Blue backpackNon-Padded haul loop1 main compartment with zip closurePadded backZip PocketPadded shoulder strap: PaddedWater-resistance: No
10000245,Parx Men Green Printed Polo Collar T-shirt,Parx,5,62.9,"Green printed T-shirt, has a polo collar, and short sleeves"
10016727,Vishudh Women Maroon Printed Kurta with Palazzos,Vishudh,8,89.2,"Maroon printed kurta with palazzos Maroon straight calf length kurta, has a round neck, three-quarter sleeves, straight hem, side slitsMaroon  Printed palazzos, has elasticated waistband, slip-on closure"
10017749,Parx Men Red Slim Fit Checked Casual Shirt,Parx,5,75.2,"Red checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
1000795,Being Human Clothing Navy Printed Casual Slim Shirt,Being Human,9,10.79,"Navy blue printed casual shirt, has a spread collar, a full button placket, two pockets, long sleeves, a curved hem"
10003803,Homesake Gold-Toned & White Solid Handcrafted Table Lamp with Shade,Homesake,10,16.2,Type: Handcrafted Table Lamp with ShadeColour: Gold-Toned and whitePattern: SolidShape: FrustumShade material: FabricBase material: AluminiumBulb Holder Type: E27Switch Type: Toggle ButtonComes with bulb
10012765,SEJ by Nisha Gupta Set of 6 Mustard & Blue Printed Table Placemats,SEJ by Nisha Gupta,11,89.9,Set content: 6 table mats Shape: Rectangle Colour: Mustard and blue Pattern: Printed Suitable For: 6 seater table Material: Cotton 
10014413,YAK YAK Men Camel Brown Solid Polo Collar T-shirt,YAK YAK,12,59.9,"Camel brown solid T-shirt, has polo collar, short sleeves"
10013483,PARFAIT Plus Size Black Striped Non-Wired Lightly Padded T-shirt Bra P5252,PARFAIT,13,17.49,Black striped medium-coverage T-shirt braLightly Padded and Non-Wired seamless cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort
10004155,HIGHLANDER Men Mustard & Black Slim Fit Checked Casual Shirt,HIGHLANDER,14,69.9,"Mustard and black checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
10012795,SEJ by Nisha Gupta Set of 6 Multicoloured Printed Table Placemats,SEJ by Nisha Gupta,11,89.9,Set content: 6 table matsShape: RectangleColour: MulticolouredPattern: PrintedSuitable For: 6 seater tableMaterial: Cotton
10009723,SPYKAR Women Blue Adora Skinny Fit Mid-Rise Clean Look Stretchable Ankle Jeans,SPYKAR,3,11.99,"Blue medium wash 5-pocket mid-rise jeans, clean look, heavy fade, has a button and zip closure, and waistband with belt loops"
10012853,JEWEL JUNCTION Gold-Toned Square Cufflinks,JEWEL JUNCTION,15,53.9,A pair of gold-toned square solid cufflinks
10006001,ID Men Tan Brown Fisherman Leather Sandals,ID,16,23.85,A pair of tan brown fisherman sandalsLeather upper with velcro closureCushioned footbedPatterned synthetic outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer
10017377,Story@home Multicoloured Geometric 210TC Cotton 1 King Bedsheet with 2 Pillow Covers,Story@home,17,11.99,Set content: 1 King bedsheet with 2 pillow coversQuality: Fine Thread count: 210Colour: MulticolouredPattern: Geometric
10015839,Raymond Men Blue Slim Fit Printed Formal Shirt,Raymond,4,10.79,"Blue printed formal shirt, has a spread collar, long sleeves, button placket,  straight hem, one patch pocket"
10003123,Gini and Jony Boys Navy Blue Regular Fit Solid Casual Shirt,Gini and Jony,18,69.9,"Navy Blue solid casual shirt, has a spread collar, long sleeves, button placket, and curved hem"
10013041,Sera Women Blue Printed Kurta with Palazzos,Sera,19,14.37,"Blue printed kurta with palazzos Blue A-line calf length kurta, has a round neck, short sleeves, flared hem Blue solid palazzos, button closure"
10014831,AccessHer Women Gold-Toned & Pink Gold-Plated AD-Studded Maang Tikka,AccessHer,20,97.9,"Gold-toned and pink gold-plated maang tikka with arificial stoned and beads studded, gold-platedSecured with a fish-hook ear wire"
10017831,Parx Men Blue Slim Fit Printed Casual Shirt,Parx,5,77.9,"Blue printed casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
10002713,Alcis Women Yellow & Blue Colorblocked Tights,Alcis,21,74.9,"Alcis Women  Yellow & Blue Colorblocked Tights, three-fouth length, elasticated waist"
10006029,ID Men Brown Leather Formal Slip-Ons,ID,16,95.6,"A pair of brown square-toed formal slip-on shoes, has elasticated gussets on both sidesLeather upper, has a textured detailCushioned footbedTextured TPR outsoleWarranty: 3 months against manufacturing defect onlyWarranty provided by the brand owner / manufacturer"
10005903,Difference of Opinion Men Navy Blue Solid Round Neck T-shirt With Side Strip Detail,Difference of Opinion,22,49.9,"Navy Blue Solid T-shirt, has a round neck, long sleeves, has side stripes in the sleeves"
10017781,Parx Men Blue Slim Fit Checked Casual Shirt,Parx,5,76.9,"Blue checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one pocket"
10002151,Michael Kors Extreme Blue For Men Edt 70 ml,Michael Kors,23,42.75,"What it is:Extreme Blue For Men EdWhat it does:Masculine and sensuous at the same time is this 'Blue Eau De Toilette' from Michael Kors. Exuding unmatched freshness, this EDT is a must-have in your collection of fragrances. Available in a 70 ml pack, this EDT has top notes of bergamot, spicy pink pepper and invigorating cardamom. The heart notes are of juniper, cypress, nutty sesame and herbaceous sage, while the base notes include warm ambrox, musk and patchouli."
10015989,Tokyo Talkies Women Off-White & Pink Floral Print Fit and Flare Dress,Tokyo Talkies,24,49.9,"Off-White and pink printed woven fit and flare dress, has a round neck, three-quarter sleeves, concealed zip closure,, flared hem"
10004151,HIGHLANDER Men Navy Blue & Maroon Slim Fit Checked Casual Shirt,HIGHLANDER,14,69.9,"Navy Blue and maroon checked casual shirt, has a spread collar, long sleeves, button placket,  curved hem, one patch pocket"
10007705,her by invictus Women Brown Solid Cushioned Mules,her by invictus,25,10.44,"A pair of pointed closed toe brown mules with comfort lining and foam cushioned footbed for your work-from-home needs. It has regular styling, and closed backSynthetic upperFoam Cushioned footbedTextured and patterned outsole"
10006041,ID Men Beige Leather Derbys,ID,16,26.85,"A pair of round-toe beige derbys, has regular styling, lace-up detailLeather upperCushioned footbedTextured and patterned outsoleWarranty: 3 monthsWarranty provided by brand/manufacturer"
10009621,SPYKAR Women Blue Adora Skinny Fit Mid-Rise Low Distress Ankle-length Stretchable Jeans,SPYKAR,3,11.24,"Blue medium wash 5-pocket mid-rise ankle-length jeans, low distress, heavy fade, has a button and zip closure, and waistband with belt loops"
10009681,SPYKAR Women Blue Adora Skinny Fit Mid-Rise Clean Look Ankle-Length Stretchable Jeans,SPYKAR,3,98.9,"Blue dark wash 5-pocket mid-rise ankle-length jeans, clean look, light fade, has a button and zip closure, and waistband with belt loops"
10017569,Soie Nude-Coloured Solid Non-Wired Non Padded Maternity Bra CB-331NUDE,Soie,26,75.0,Nude-Coloured solid full-coverage Maternity bra Non Padded and Non-Wired seamless cups Regular straps and back closure Back style: Regular Feature: All Day Comfort
10001251,Lara Karen Women Black Solid Maxi Satin Skirt,Lara Karen,27,19.99,"Black solid woven maxi skirt, has a slip-on closure, flared hem"
10003199,Gini and Jony Girls Yellow Fit and Flare Embellished Dress,Gini and Jony,18,16.19,"Yellow embellished woven fit and flare dress, has a round neck, short sleeves, zip closure, an attached lining, and flared hem"
10017405,Story@home Off-White & Blue Geometric 210TC Cotton 1 King Bedsheet with 2 Pillow Covers,Story@home,17,11.99,Set content: 1 King bedsheet with 2 pillow coversQuality: FineThread count: 210Colour: Off-White and bluePattern: Geometric
10013687,PARFAIT Plus Size Blue Solid Underwired Lightly Padded Plunge Bra 2801,PARFAIT,13,11.89,Blue solid medium-coverage plunge bra with lace detailLightly padded and underwired seamless cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort
10015163,Urban Dog Men Grey Solid Regular Fit Sports Shorts,Urban Dog,28,39.9,"Grey solid mid-rise sports shorts, has two pockets, a drawstring closure"
1000710,ahilya Sterling Silver Textured Bangle,ahilya,29,97.56,"Sterling silver textured bangle, has animal-shaped detail on the endsNote: This jewellery is handcrafted, therefore there might be slight variations from the image."
10013541,PARFAIT Plus Size Blue Solid Underwired Lightly Padded T-shirt Bra P5441,PARFAIT,13,16.09,Blue solid medium-coverage T-shirt braLightly padded and underwired seamless cupsRegular straps and back closureBack style: RegularFeature: All Day Comfort
